date,home_team,away_team,team,scorer,minute,own_goal,penalty,home_id,away_id,team_id,player_slug,match_id,player_id
2025-03-23,Spain,Netherlands,Netherlands,Memphis Depay,54.0,false,true,spain,netherlands,netherlands,memphis-depay,20250323-spain-netherlands,netherlands/memphis-depay
2025-03-23,Spain,Netherlands,Spain,Mikel Oyarzabal,67.0,false,false,spain,netherlands,spain,mikel-oyarzabal,20250323-spain-netherlands,spain/mikel-oyarzabal
2025-03-23,Spain,Netherlands,Netherlands,Ian Maatsen,79.0,false,false,spain,netherlands,netherlands,ian-maatsen,20250323-spain-netherlands,netherlands/ian-maatsen
2025-03-23,Spain,Netherlands,Spain,Lamine Yamal,103.0,false,false,spain,netherlands,spain,lamine-yamal,20250323-spain-netherlands,spain/lamine-yamal
2025-03-23,Spain,Netherlands,Netherlands,Xavi Simons,109.0,false,true,spain,netherlands,netherlands,xavi-simons,20250323-spain-netherlands,netherlands/xavi-simons
2025-03-24,England,Latvia,England,Reece James,38.0,false,false,england,latvia,england,reece-james,20250324-england-latvia,england/reece-james
2025-03-24,England,Latvia,England,Harry Kane,68.0,false,false,england,latvia,england,harry-kane,20250324-england-latvia,england/harry-kane
2025-03-24,England,Latvia,England,Eberechi Eze,76.0,false,false,england,latvia,england,eberechi-eze,20250324-england-latvia,england/eberechi-eze
2025-03-25,Argentina,Brazil,Argentina,Julián Alvarez,4.0,false,false,argentina,brazil,argentina,julian-alvarez,20250325-argentina-brazil,argentina/julian-alvarez
2025-03-25,Argentina,Brazil,Argentina,Enzo Fernández,12.0,false,false,argentina,brazil,argentina,enzo-fernandez,20250325-argentina-brazil,argentina/enzo-fernandez
2025-03-25,Argentina,Brazil,Brazil,Matheus Cunha,26.0,false,false,argentina,brazil,brazil,matheus-cunha,20250325-argentina-brazil,brazil/matheus-cunha
2025-03-25,Argentina,Brazil,Argentina,Alexis Mac Allister,37.0,false,false,argentina,brazil,argentina,alexis-mac-allister,20250325-argentina-brazil,argentina/alexis-mac-allister
2025-03-25,Argentina,Brazil,Argentina,Giuliano Simeone,71.0,false,false,argentina,brazil,argentina,giuliano-simeone,20250325-argentina-brazil,argentina/giuliano-simeone
2025-06-04,Germany,Portugal,Germany,Florian Wirtz,48.0,false,false,germany,portugal,germany,florian-wirtz,20250604-germany-portugal,germany/florian-wirtz
2025-06-05,Chile,Argentina,Argentina,Julián Alvarez,16.0,false,false,chile,argentina,argentina,julian-alvarez,20250605-chile-argentina,argentina/julian-alvarez
2025-06-05,Spain,France,Spain,Nico Williams,22.0,false,false,spain,france,spain,nico-williams,20250605-spain-france,spain/nico-williams
