date,home_score,away_score,tournament,city,country,neutral,home_id,away_id,tier,match_id,home_team_name,away_team_name,shootout_winner_id
1997-06-03,1,1,Tournoi de France,Lyon,France,false,france,brazil,other,19970603-france-brazil,France,Brazil,
1997-06-04,2,0,Tournoi de France,Nantes,France,true,england,italy,other,19970604-england-italy,England,Italy,
1997-06-07,0,1,Tournoi de France,Montpellier,France,false,france,england,other,19970607-france-england,France,England,
1997-06-08,3,3,Tournoi de France,Lyon,France,true,italy,brazil,other,19970608-italy-brazil,Italy,Brazil,
1997-06-10,0,1,Tournoi de France,Paris,France,true,england,brazil,other,19970610-england-brazil,England,Brazil,
1997-06-11,2,2,Tournoi de France,Paris,France,false,france,italy,other,19970611-france-italy,France,Italy,
1997-10-11,0,0,FIFA World Cup qualification,Rome,Italy,false,italy,england,qualifier,19971011-italy-england,Italy,England,
1998-01-28,1,0,Friendly,Saint-Denis,France,false,france,spain,friendly,19980128-france-spain,France,Spain,
1998-03-25,1,2,Friendly,Stuttgart,Germany,false,germany,brazil,friendly,19980325-germany-brazil,Germany,Brazil,
1998-04-29,0,1,Friendly,Rio de Janeiro,Brazil,false,brazil,argentina,friendly,19980429-brazil-argentina,Brazil,Argentina,
1998-06-30,2,2,FIFA World Cup,Saint-Étienne,France,true,argentina,england,world_cup,19980630-argentina-england,Argentina,England,argentina
1998-07-03,0,0,FIFA World Cup,Saint-Denis,France,false,france,italy,world_cup,19980703-france-italy,France,Italy,france
1998-07-04,2,1,FIFA World Cup,Marseille,France,true,netherlands,argentina,world_cup,19980704-netherlands-argentina,Netherlands,Argentina,
1998-07-07,1,1,FIFA World Cup,Marseille,France,true,brazil,netherlands,world_cup,19980707-brazil-netherlands,Brazil,Netherlands,brazil
1998-07-12,3,0,FIFA World Cup,Saint-Denis,France,false,france,brazil,world_cup,19980712-france-brazil,France,Brazil,
1998-11-18,1,1,Friendly,Gelsenkirchen,Germany,false,germany,netherlands,friendly,19981118-germany-netherlands,Germany,Netherlands,
1998-11-18,2,2,Friendly,Salerno,Italy,false,italy,spain,friendly,19981118-italy-spain,Italy,Spain,
1999-02-10,0,2,Friendly,London,England,false,england,france,friendly,19990210-england-france,England,France,
1999-03-31,1,1,Friendly,Amsterdam,Netherlands,false,netherlands,argentina,friendly,19990331-netherlands-argentina,Netherlands,Argentina,
1999-06-05,2,2,Friendly,Salvador,Brazil,false,brazil,netherlands,friendly,19990605-brazil-netherlands,Brazil,Netherlands,
1999-06-08,3,1,Friendly,Goiânia,Brazil,false,brazil,netherlands,friendly,19990608-brazil-netherlands,Brazil,Netherlands,
1999-07-11,2,1,Copa América,Ciudad del Este,Paraguay,true,brazil,argentina,continental,19990711-brazil-argentina,Brazil,Argentina,
1999-07-24,4,0,Confederations Cup,Guadalajara,Mexico,true,brazil,germany,continental,19990724-brazil-germany,Brazil,Germany,
1999-09-04,2,0,Friendly,Buenos Aires,Argentina,false,argentina,brazil,friendly,19990904-argentina-brazil,Argentina,Brazil,
1999-09-07,4,2,Friendly,Porto Alegre,Brazil,false,brazil,argentina,friendly,19990907-brazil-argentina,Brazil,Argentina,
1999-10-09,2,2,Friendly,Amsterdam,Netherlands,false,netherlands,brazil,friendly,19991009-netherlands-brazil,Netherlands,Brazil,
1999-11-13,0,0,Friendly,Vigo,Spain,false,spain,brazil,friendly,19991113-spain-brazil,Spain,Brazil,
1999-11-17,0,2,Friendly,Seville,Spain,false,spain,argentina,friendly,19991117-spain-argentina,Spain,Argentina,
2000-02-23,0,0,Friendly,London,England,false,england,argentina,friendly,20000223-england-argentina,England,Argentina,
2000-02-23,2,1,Friendly,Amsterdam,Netherlands,false,netherlands,germany,friendly,20000223-netherlands-germany,Netherlands,Germany,
2000-03-29,2,0,Friendly,Barcelona,Spain,false,spain,italy,friendly,20000329-spain-italy,Spain,Italy,
2000-05-27,1,1,Friendly,London,England,false,england,brazil,friendly,20000527-england-brazil,England,Brazil,
2000-06-17,1,0,UEFA Euro,Charleroi,Belgium,true,england,germany,continental,20000617-england-germany,England,Germany,
2000-06-21,3,2,UEFA Euro,Amsterdam,Netherlands,false,netherlands,france,continental,20000621-netherlands-france,Netherlands,France,
2000-06-25,1,2,UEFA Euro,Bruges,Belgium,true,spain,france,continental,20000625-spain-france,Spain,France,
2000-06-29,0,0,UEFA Euro,Amsterdam,Netherlands,false,netherlands,italy,continental,20000629-netherlands-italy,Netherlands,Italy,italy
